participantID,trialN,chartType,actualPercent,enteredPercent,error
Erik,1,Pie,98,1,6.60177078840771
n9v9o9,1,Bar,48,50,1.0874628412503393
Erik,2,Line,83,80,1.6438561897747246
Erik,3,Bar,53,60,2.8328900141647417
Erik,4,Line,86,12,6.211888294546004
Erik,5,Bar,58,190,7.045759661382683
Erik,6,Line,41,40,0.16992500144231237
n9v9o9,2,Pie,97,100,1.6438561897747248
Erik,7,Bar,43,40,1.6438561897747246
Erik,8,Line,80,80,-3
Erik,9,Bar,95,105,3.3398500028846247
Erik,10,Bar,76,80,2.0443941193584534
n9v9o9,3,Line,69,75,2.6147098441152083
n9v9o9,4,Bar,47,50,1.6438561897747248
n9v9o9,5,Line,41,30,3.4757334309663976
n9v9o9,6,Line,57,60,1.6438561897747248
n9v9o9,7,Line,24,20,2.0443941193584534
n9v9o9,8,Line,24,20,2.0443941193584534
n9v9o9,9,Bar,43,40,1.6438561897747248
n9v9o9,10,Pie,57,50,2.8328900141647417
n9v9o9,11,Pie,65,70,2.357552004618084
n9v9o9,12,Line,63,60,1.6438561897747248
n9v9o9,13,Pie,84,100,4.011227255423254
n9v9o9,14,Pie,65,90,4.651051691178929
n9v9o9,15,Bar,75,70,2.357552004618084
n9v9o9,16,Bar,87,80,2.8328900141647417
n9v9o9,17,Line,44,40,2.0443941193584534
n9v9o9,18,Pie,87,100,3.7142455176661224
Ethan lockhart,1,Bar,66,75,3.189824558880017
Ethan lockhart,2,Bar,80,90,3.3398500028846247
Ethan lockhart,3,Line,23,400,8.558898981146703
Ethan lockhart,4,Line,73,70,1.6438561897747246
Ethan lockhart,5,Pie,74,100,4.7073591320808825
maxine123,1,Line,62,50,3.599912842187128
maxine123,2,Bar,64,40,4.592457037268081
NEO,1,Pie,26,30,2.0443941193584534
coffee107,1,Pie,61,50,3.4757334309663976
maxine123,3,Pie,97,0,6.60177078840771
NEO,2,Pie,44,50,2.6147098441152083
maxine123,4,Pie,89,0,6.477758266443888
NEO,3,Bar,91,90,0.16992500144231237
maxine123,5,Pie,46,40,2.6147098441152083
NEO,4,Bar,83,90,2.8328900141647417
NEO,5,Bar,78,80,1.0874628412503393
coffee107,2,Bar,80,80,-3
NEO,6,Pie,67,80,3.7142455176661224
maxine123,6,Bar,33,30,1.6438561897747248
coffee107,3,Pie,86,90,2.0443941193584534
NEO,7,Line,87,80,2.8328900141647417
maxine123,7,Pie,37,30,2.8328900141647417
NEO,8,Bar,41,45,2.0443941193584534
coffee107,4,Pie,93,80,3.7142455176661224
NEO,9,Bar,77,75,1.0874628412503393
maxine123,8,Line,42,50,3.0223678130284544
coffee107,5,Line,59,80,4.400879436282184
NEO,10,Line,94,90,2.0443941193584534
NEO,11,Line,90,80,3.3398500028846247
coffee107,6,Line,44,45,0.16992500144231237
NEO,12,Pie,38,40,1.0874628412503393
NEO,13,Bar,80,80,-3
NEO,14,Bar,52,50,1.0874628412503393
NEO,15,Line,79,70,3.189824558880017
NEO,16,Line,51,50,0.16992500144231237
NEO,17,Bar,66,60,2.6147098441152083
coffee107,7,Line,83,80,1.6438561897747248
NEO,18,Pie,33,30,1.6438561897747248
coffee107,8,Bar,58,50,3.0223678130284544
coffee107,9,Bar,67,60,2.8328900141647417
NEO,19,Bar,61,55,2.6147098441152083
NEO,20,Line,87,70,4.098032082960526
coffee107,10,Line,39,40,0.16992500144231237
NEO,21,Pie,34,50,4.011227255423254
coffee107,11,Bar,80,80,-3
NEO,22,Line,71,70,0.16992500144231237
coffee107,12,Bar,36,30,2.6147098441152083
NEO,23,Bar,74,75,0.16992500144231237
coffee107,13,Bar,70,70,-3
NEO,24,Pie,56,50,2.6147098441152083
coffee107,14,Line,25,25,-3
NEO,25,Line,80,80,-3
NEO,26,Pie,43,50,2.8328900141647417
coffee107,15,Pie,25,25,-3
NEO,27,Line,78,70,3.0223678130284544
coffee107,16,Line,66,30,5.174925682500679
NEO,28,Bar,78,80,1.0874628412503393
NEO,29,Line,51,50,0.16992500144231237
NEO,30,Line,37,30,2.8328900141647417
coffee107,17,Bar,86,95,3.189824558880017
NEO,31,Line,78,80,1.0874628412503393
NEO,32,Line,95,90,2.357552004618084
NEO,33,Line,95,95,-3
coffee107,18,Line,40,50,3.3398500028846247
NEO,34,Line,34,20,3.820178962415188
NEO,35,Pie,43,50,2.8328900141647417
coffee107,19,Bar,97,98,0.16992500144231237
NEO,36,Bar,97,98,0.16992500144231237
NEO,37,Line,46,50,2.0443941193584534
NEO,38,Bar,83,80,1.6438561897747248
NEO,39,Pie,50,50,-3
coffee107,20,Pie,74,80,2.6147098441152083
NEO,40,Pie,65,80,3.9188632372745946
coffee107,21,Pie,95,0,6.571752643503546
NEO,41,Pie,30,50,4.330916878114617
coffee107,22,Pie,95,95,-3
NEO,42,Bar,63,60,1.6438561897747248
NEO,43,Bar,66,60,2.6147098441152083
coffee107,23,Pie,82,80,1.0874628412503393
NEO,44,Pie,42,50,3.0223678130284544
coffee107,24,Bar,88,90,1.0874628412503393
NEO,45,Pie,84,100,4.011227255423254
NEO,46,Bar,82,80,1.0874628412503393
coffee107,25,Bar,67,60,2.8328900141647417
NEO,47,Line,58,55,1.6438561897747248
NEO,48,Pie,60,50,3.3398500028846247
NEO,49,Line,72,70,1.0874628412503393
coffee107,26,Line,40,40,-3
coffee107,27,Pie,49,30,4.257387842692652
coffee107,28,Bar,52,50,1.0874628412503393
NEO,50,Line,100,100,-3
NEO,51,Bar,91,90,0.16992500144231237
coffee107,29,Line,88,90,1.0874628412503393
NEO,52,Pie,54,50,2.0443941193584534
coffee107,30,Pie,36,30,2.6147098441152083
NEO,53,Line,46,50,2.0443941193584534
NEO,54,Pie,32,50,4.1799090900149345
NEO,55,Pie,46,50,2.0443941193584534
maxine123,9,Line,41,30,3.4757334309663976
NEO,56,Pie,79,80,0.16992500144231237
NEO,57,Pie,45,50,2.357552004618084
coffee107,31,Line,98,99,0.16992500144231237
NEO,58,Bar,37,40,1.6438561897747248
NEO,59,Bar,93,90,1.6438561897747248
maxine123,10,Line,46,47,0.16992500144231237
coffee107,32,Pie,73,90,4.098032082960526
NEO,60,Bar,54,55,0.16992500144231237
maxine123,11,Pie,57,70,3.7142455176661224
maxine123,12,Bar,71,75,2.0443941193584534
maxine123,13,Pie,49,50,0.16992500144231237
maxine123,14,Pie,48,60,3.599912842187128
maxine123,15,Pie,37,50,3.7142455176661224
coffee107,33,Line,70,70,-3
maxine123,16,Line,61,70,3.189824558880017
maxine123,17,Pie,42,57,3.9188632372745946
maxine123,18,Bar,72,80,3.0223678130284544
maxine123,19,Pie,55,75,4.330916878114617
maxine123,20,Line,100,100,-3
maxine123,21,Bar,62,75,3.7142455176661224
coffee107,34,Line,81,80,0.16992500144231237
maxine123,22,Bar,80,80,-3
maxine123,23,Line,24,20,2.0443941193584534
coffee107,35,Bar,25,25,-3
maxine123,24,Pie,84,85,0.16992500144231237
coffee107,36,Line,86,90,2.0443941193584534
maxine123,25,Pie,92,100,3.0223678130284544
maxine123,26,Pie,66,85,4.257387842692652
maxine123,27,Pie,45,60,3.9188632372745946
maxine123,28,Pie,91,100,3.189824558880017
coffee107,37,Pie,83,90,2.8328900141647417
maxine123,29,Bar,55,55,-3
coffee107,38,Bar,71,80,3.189824558880017
coffee107,39,Bar,82,90,3.0223678130284544
coffee107,40,Bar,65,70,2.357552004618084
maxine123,30,Pie,81,86,2.357552004618084
coffee107,41,Pie,46,50,2.0443941193584534
maxine123,31,Line,45,57,3.599912842187128
coffee107,42,Line,26,33,2.8328900141647417
coffee107,43,Bar,86,90,2.0443941193584534
maxine123,32,Line,80,85,2.357552004618084
maxine123,33,Bar,18,15,1.6438561897747248
coffee107,44,Pie,46,25,4.400879436282184
coffee107,45,Line,45,50,2.357552004618084
coffee107,46,Line,56,60,2.0443941193584534
coffee107,47,Pie,98,50,5.588714635582264
maxine123,34,Line,50,50,-3
maxine123,35,Line,32,40,3.0223678130284544
maxine123,36,Bar,68,70,1.0874628412503393
coffee107,48,Pie,47,50,1.6438561897747248
maxine123,37,Line,39,45,2.6147098441152083
coffee107,49,Line,68,67,0.16992500144231237
maxine123,38,Pie,76,90,3.820178962415188
maxine123,39,Bar,84,85,0.16992500144231237
maxine123,40,Line,54,68,3.820178962415188
coffee107,50,Bar,82,80,1.0874628412503393
coffee107,51,Line,35,40,2.357552004618084
coffee107,52,Line,96,98,1.0874628412503393
coffee107,53,Pie,25,25,-3
coffee107,54,Pie,96,50,5.527477006060396
coffee107,55,Pie,97,50,5.5584207132686645
coffee107,56,Bar,60,60,-3
maxine123,41,Line,71,75,2.0443941193584534
coffee107,57,Bar,98,95,1.6438561897747248
maxine123,42,Bar,75,87,3.599912842187128
coffee107,58,Line,54,45,3.189824558880017
coffee107,59,Pie,50,50,-3
maxine123,43,Bar,75,70,2.357552004618084
coffee107,60,Bar,46,40,2.6147098441152083
maxine123,44,Bar,47,50,1.6438561897747248
maxine123,45,Bar,37,30,2.8328900141647417
maxine123,46,Pie,60,70,3.3398500028846247
maxine123,47,Pie,35,46,3.4757334309663976
maxine123,48,Bar,30,30,-3
maxine123,49,Bar,71,80,3.189824558880017
maxine123,50,Pie,44,50,2.6147098441152083
maxine123,51,Bar,29,35,2.6147098441152083
maxine123,52,Bar,77,85,3.0223678130284544
SukiyAki,1,Pie,68,50,4.1799090900149345
maxine123,53,Line,57,70,3.7142455176661224
SukiyAki,2,Bar,52,50,1.0874628412503393
maxine123,54,Bar,26,30,2.0443941193584534
SukiyAki,3,Bar,30,33.3333,1.7900630250643843
maxine123,55,Line,69,70,0.16992500144231237
maxine123,56,Bar,93,97,2.0443941193584534
maxine123,57,Line,24,20,2.0443941193584534
maxine123,58,Line,92,90,1.0874628412503393
maxine123,59,Line,92,89,1.6438561897747248
maxine123,60,Line,94,90,2.0443941193584534
Forever,1,Bar,26,25,0.16992500144231237
Forever,2,Pie,90,75,3.9188632372745946
Forever,3,Pie,75,55,4.330916878114617
Forever,4,Line,73,50,4.531381460516312
Forever,5,Pie,95,100,2.357552004618084
Forever,6,Line,57,75,4.1799090900149345
Forever,7,Pie,40,25,3.9188632372745946
Forever,8,Bar,97,95,1.0874628412503393
Forever,9,Line,94,90,2.0443941193584534
Forever,10,Bar,51,50,0.16992500144231237
Forever,11,Line,48,50,1.0874628412503393
Forever,12,Pie,88,95,2.8328900141647417
Forever,13,Line,100,98,1.0874628412503393
Forever,14,Line,92,97,2.357552004618084
Forever,15,Bar,60,60,-3
Forever,16,Line,41,40,0.16992500144231237
Forever,17,Bar,65,70,2.357552004618084
Forever,18,Pie,22,10,3.599912842187128
Forever,19,Pie,98,70,4.813781191217037
Forever,20,Line,30,30,-3
Forever,21,Pie,77,60,4.098032082960526
Forever,22,Bar,76,60,4.011227255423254
Forever,23,Line,26,27,0.16992500144231237
kaka,1,Line,60,70,3.3398500028846247
Forever,24,Line,28,28,-3
kaka,2,Line,100,100,-3
kaka,3,Bar,79,80,0.16992500144231237
Forever,25,Bar,43,45,1.0874628412503393
kaka,4,Line,92,90,1.0874628412503393
kaka,5,Pie,70,70,-3
kaka,6,Bar,65,70,2.357552004618084
kaka,7,Line,63,67,2.0443941193584534
Forever,26,Line,58,60,1.0874628412503393
Forever,27,Pie,93,98,2.357552004618084
kaka,8,Bar,63,69,2.6147098441152083
Forever,28,Line,51,50,0.16992500144231237
kaka,9,Line,82,80,1.0874628412503393
kaka,10,Pie,67,70,1.6438561897747248
Forever,29,Pie,93,60,5.049848549450561
kaka,11,Pie,89,100,3.4757334309663976
Forever,30,Pie,40,30,3.3398500028846247
kaka,12,Pie,51,70,4.257387842692652
Forever,31,Line,59,60,0.16992500144231237
kaka,13,Pie,64,90,4.7073591320808825
Forever,32,Bar,80,80,-3
kaka,14,Bar,64,70,2.6147098441152083
kaka,15,Pie,28,30,1.0874628412503393
Forever,33,Bar,70,70,-3
kaka,16,Line,26,30,2.0443941193584534
Forever,34,Bar,56,55,0.16992500144231237
kaka,17,Line,32,30,1.0874628412503393
kaka,18,Line,94,90,2.0443941193584534
kaka,19,Pie,30,20,3.3398500028846247
Forever,35,Pie,46,25,4.400879436282184
kaka,20,Line,50,40,3.3398500028846247
Forever,36,Bar,87,80,2.8328900141647417
kaka,21,Bar,47,50,1.6438561897747248
kaka,22,Bar,61,70,3.189824558880017
kaka,23,Line,49,50,0.16992500144231237
Forever,37,Pie,90,90,-3
kaka,24,Line,75,80,2.357552004618084
Forever,38,Bar,56,55,0.16992500144231237
kaka,25,Bar,49,50,0.16992500144231237
Forever,39,Pie,94,70,4.592457037268081
kaka,26,Line,40,46,2.6147098441152083
Forever,40,Bar,36,40,2.0443941193584534
kaka,27,Line,27,34,2.8328900141647417
kaka,28,Line,95,90,2.357552004618084
kaka,29,Bar,81,90,3.189824558880017
Forever,41,Pie,48,354,8.257977058563979
kaka,30,Line,29,34,2.357552004618084
Forever,42,Bar,80,80,-3
kaka,31,Bar,23,23,-3
Forever,43,Bar,50,50,-3
kaka,32,Bar,37,26,3.4757334309663976
kaka,33,Pie,53,70,4.098032082960526
kaka,34,Line,34,30,2.0443941193584534
kaka,35,Bar,42,40,1.0874628412503393
kaka,36,Pie,89,100,3.4757334309663976
kaka,37,Line,86,80,2.6147098441152083
kaka,38,Pie,65,70,2.357552004618084
kaka,39,Bar,82,80,1.0874628412503393
kaka,40,Line,55,50,2.357552004618084
kaka,41,Line,86,86,-3
Forever,44,Pie,62,.5570,5.944108799107955
kaka,42,Line,35,40,2.357552004618084
kaka,43,Pie,94,100,2.6147098441152083
Forever,45,Pie,91,90,0.16992500144231237
kaka,44,Bar,44,48,2.0443941193584534
kaka,45,Pie,33,25,3.0223678130284544
kaka,46,Pie,17,15,1.0874628412503393
kaka,47,Bar,33,30,1.6438561897747248
Forever,46,Line,36,35,0.16992500144231237
kaka,48,Pie,61,70,3.189824558880017
Forever,47,Line,76,93,4.098032082960526
kaka,49,Pie,25,26,0.16992500144231237
Forever,48,Line,79,70,3.189824558880017
Forever,49,Bar,96,92,2.0443941193584534
Forever,50,Line,95,94,0.16992500144231237
kaka,50,Pie,29,22,2.8328900141647417
kaka,51,Bar,29,30,0.16992500144231237
Forever,51,Line,85,80,2.357552004618084
kaka,52,Bar,86,90,2.0443941193584534
Forever,52,Pie,71,60,3.4757334309663976
kaka,53,Pie,50,65,3.9188632372745946
kaka,54,Pie,40,40,-3
Forever,53,Line,60,56,2.0443941193584534
kaka,55,Pie,30,33,1.6438561897747248
kaka,56,Pie,95,100,2.357552004618084
kaka,57,Bar,94,90,2.0443941193584534
kaka,58,Bar,61,60,0.16992500144231237
Forever,54,Line,54,51,1.6438561897747248
kaka,59,Bar,73,75,1.0874628412503393
kaka,60,Bar,18,30,3.599912842187128
Forever,55,Pie,76,70,2.6147098441152083
Forever,56,Bar,57,55,1.0874628412503393
Forever,57,Pie,63,60,1.6438561897747248
Forever,58,Bar,94,90,2.0443941193584534
Forever,59,Bar,64,60,2.0443941193584534
Forever,60,Bar,58,55,1.6438561897747248
Suki,1,Pie,56,50,2.6147098441152083
Suki,2,Bar,26,25,0.16992500144231237
Suki,3,Pie,88,100,3.599912842187128
Suki,4,Pie,87,100,3.7142455176661224
Suki,5,Pie,66,25,5.361943773735241
Suki,6,Line,48,50,1.0874628412503393
Suki,7,Pie,23,20,1.6438561897747246
Suki,8,Pie,20,15,2.357552004618084
Suki,9,Pie,96,11,6.411510988012071
Suki,10,Bar,60,75,3.9188632372745946
Suki,11,Bar,32,75,5.430452551665532
Suki,12,Line,22,33.33,3.51790555352995
Suki,13,Line,55,60,2.357552004618084
Suki,14,Bar,52,50,1.0874628412503393
Suki,15,Line,75,86,3.4757334309663976
Suki,16,Bar,79,80,0.16992500144231237
Suki,17,Pie,91,100,3.189824558880017
Suki,18,Bar,40,33.33,2.764473550992667
Suki,19,Bar,64,70,2.6147098441152083
Suki,20,Line,62,60,1.0874628412503393
Suki,21,Pie,98,95,1.6438561897747246
Suki,22,Bar,44,40,2.0443941193584534
Suki,23,Bar,77,80,1.6438561897747246
Suki,24,Line,25,22,1.6438561897747246
Suki,25,Line,90,92,1.0874628412503393
Suki,26,Pie,42,30,3.599912842187128
Suki,27,Line,57,55,1.0874628412503393
Suki,28,Bar,46,40,2.6147098441152083
Suki,29,Bar,85,80,2.357552004618084
Suki,30,Pie,66,75,3.189824558880017
Suki,31,Bar,33,25,3.0223678130284544
Suki,32,Line,39,38,0.16992500144231237
Suki,33,Bar,33,35,1.0874628412503393
Suki,34,Line,62,68,2.6147098441152083
NEO2,1,Bar,24,24,-3
Suki,35,Bar,40,46.5,2.727920454563199
